ReportingMonth,PeerGroupLoansClosed,PeerGroupUWDecisions,MyCompanyLoansClosed,MyCompanyUWDecisions
December,21.956853,17.898477,8.25,11
January,16.485243,18.4078,12.42857143,18.14285714
February,18.210273,21.075442,11.57142857,22.42857143
March,23.76696,25.607876,17,27.71428571
April,27.04717,29.927438,14.88888889,20.77777778
May,29.680069,28.394678,0,0
June,28.476447,30.318292,42.75,39.5
July,26.450545,31.107432,32.75,45.25
August,22.851133,25.34362,36,45.75
September,24.752122,29.604735,33.75,69.75
October,29.708627,30.423401,56.75,50.25
November,22.711122,23.919721,1.083333333,2
December,26.274419,25.745595,1.538461538,3.846153846
